latitudes,longitudes,Year,Month,Day,Time,hum_1,hum_2,hum_3,hum_4,hum_5,hum_6,hum_7,hum_8,hum_9,hum_10,hum_11,hum_12,hum_13,hum_14,hum_15,hum_16,hum_17,hum_18,hum_19,hum_20,hum_21,hum_22,hum_23,hum_24,hum_25,hum_26,hum_27,hum_28,hum_29,hum_30
50.08,22.36,2022,1,1,21.09,91.3534,40.9182,2.9365,20.9537,55.1738,48.9671,51.1718,47.8351,38.7383,28.6152,33.4074,30.542,31.0338,12.301,5.626,4.1968,3.4614,2.2444,2.0554,1.6337,1.0881,0.9214,0.9047,1.0773,0.932,0.5887,0.3322,0.2244,0.1711,0.1126
-63.22,73.65,2022,1,1,21.12,76.5619,57.3636,26.4472,20.1133,22.7621,15.4825,23.6608,11.9358,1.5951,2.0608,1.6486,0.8469,0.6791,0.7724,0.7108,0.5538,0.5145,0.4443,0.3563,0.266,0.1915,0.1775,0.1689,0.1361,0.1133,0.0795,0.0571,0.046,0.0351,0.0248
59.90,-134.74,2022,1,1,21.14,NAN,80.8959,69.4413,67.783,53.8151,67.4182,38.3352,-1.8429,7.4451,5.9327,2.4355,1.4032,1.123,0.8954,0.8346,0.6606,0.5519,0.4856,0.4469,0.466,0.4416,0.4133,0.3601,0.3282,0.307,0.3464,0.3591,0.3382,0.3038,0.2649
59.42,5.78,2022,1,1,21.15,90.3483,82.6095,59.6724,24.7176,26.6448,35.8265,46.2519,51.538,17.806,7.5224,5.3193,4.0509,3.9479,4.3669,3.8694,2.9614,2.885,3.2644,4.4327,5.9237,6.1907,5.7112,4.4091,2.3383,1.078,0.6437,0.5675,0.5136,0.3603,0.1969
59.51,-29.40,2022,1,1,21.18,81.6754,77.5764,57.4521,60.138,83.7915,86.5911,73.0319,58.5209,51.177,50.1909,47.8193,35.7405,8.5518,6.0238,4.7706,4.5059,3.879,3.5337,3.4249,3.1843,3.314,3.3171,3.5221,3.0314,2.289,1.7325,1.4176,1.2561,1.0175,0.7049
52.68,-171.95,2022,1,1,21.2,49.5672,37.5609,44.3404,49.1669,38.8906,30.9967,25.8312,21.584,18.5867,24.8278,43.3764,53.3488,7.2066,2.0732,1.6818,1.0651,0.8913,0.7867,0.7645,0.6156,0.6194,0.5159,0.3641,0.3021,0.2651,0.2095,0.1845,0.1589,0.1113,0.0772
-61.75,107.74,2022,1,1,21.28,87.0679,64.0859,59.3277,10.4012,17.4146,26.671,56.4588,64.3586,51.3384,56.0814,23.4677,3.9383,2.0747,1.1662,0.6926,0.449,0.3863,0.3212,0.2789,0.252,0.2009,0.1597,0.1381,0.1042,0.0702,0.0473,0.0348,0.0259,0.0206,0.0164
-43.93,15.23,2022,1,1,21.28,67.7012,40.7606,2.4541,18.9551,43.8984,50.5726,52.3201,13.5339,23.0116,52.086,41.3512,16.9253,4.9972,2.3647,1.5345,1.1672,1.001,0.9727,0.8608,0.6917,0.5929,0.5008,0.4181,0.384,0.3011,0.1873,0.1093,0.0895,0.0701,0.0539
80.50,118.66,2022,1,1,21.29,79.2854,61.3121,85.169,43.3931,41.7127,52.2517,35.1963,40.6811,36.342,41.8658,21.7122,10.47,6.8657,6.0906,5.5942,5.2082,5.8596,6.9556,8.2942,7.7831,7.2358,6.5628,6.1069,4.5622,3.765,3.0993,2.4997,1.9724,1.4675,1.0833
-86.13,-113.39,2022,1,1,21.33,NAN,NAN,58.0823,65.8266,32.1481,37.0806,43.6707,50.5533,37.6504,18.6893,8.9794,4.867,2.2225,1.1438,0.6789,0.3968,0.2478,0.1567,0.0897,0.0746,0.0634,0.0523,0.0402,0.0291,0.0252,0.0223,0.0181,0.0148,0.0123,0.0096
22.33,-160.31,2022,1,1,21.34,84.4306,82.3237,81.5343,88.5554,81.7579,75.7004,76.3857,72.9917,71.7931,28.9776,3.8178,1.3282,1.5588,3.0295,5.819,9.4491,15.8815,19.7065,12.3716,8.3757,7.2946,3.8951,1.7257,0.9071,0.5867,0.3807,0.2562,0.1992,0.1648,0.1526
